bank,variant,acc,chance,n_win,n_rec,secs,folds
HYD-accumulator,integ,0.2083,0.2500,120,24,4,0:0.400;1:0.000;2:0.400;3:0.400;4:0.400;5:0.000;6:0.200;7:0.000;8:0.000;9:0.000;10:0.200;11:0.000;12:0.200;13:0.000;14:0.200;15:0.200;16:0.200;17:0.400;18:0.200;19:0.600;20:0.400;21:0.200;22:0.200;23:0.200
DCASE-valve-id,base,0.3250,0.2500,120,24,4,0:0.000;1:1.000;2:0.600;3:0.600;4:0.400;5:0.200;6:0.400;7:0.400;8:0.000;9:0.400;10:0.000;11:0.000;12:0.000;13:0.600;14:0.200;15:0.000;16:0.000;17:0.800;18:0.600;19:0.200;20:0.600;21:0.000;22:0.400;23:0.400
DCASE-valve-id,pool4,0.1917,0.2500,120,24,4,0:0.000;1:0.000;2:0.400;3:0.200;4:0.000;5:0.200;6:0.200;7:0.200;8:0.400;9:0.000;10:0.000;11:0.400;12:0.400;13:0.200;14:0.000;15:0.400;16:0.200;17:0.200;18:0.600;19:0.000;20:0.000;21:0.200;22:0.000;23:0.400
DCASE-valve-id,pool16,0.1583,0.2500,120,24,4,0:0.000;1:0.200;2:0.400;3:0.200;4:0.000;5:0.000;6:0.000;7:0.400;8:0.200;9:0.000;10:0.000;11:0.000;12:0.600;13:0.000;14:0.200;15:0.000;16:0.200;17:0.400;18:0.200;19:0.200;20:0.200;21:0.200;22:0.000;23:0.200
DCASE-valve-id,even_sub,0.2833,0.2500,120,24,4,0:0.000;1:0.400;2:0.800;3:0.600;4:0.000;5:0.400;6:0.200;7:0.600;8:0.000;9:0.800;10:0.000;11:0.200;12:0.000;13:0.200;14:0.000;15:0.200;16:0.000;17:0.600;18:0.400;19:0.200;20:0.600;21:0.200;22:0.200;23:0.200
DCASE-valve-id,peak_sub,0.2750,0.2500,120,24,4,0:0.000;1:0.800;2:0.400;3:0.400;4:0.400;5:0.600;6:0.400;7:0.600;8:0.000;9:0.200;10:0.000;11:0.200;12:0.000;13:0.400;14:0.200;15:0.000;16:0.000;17:0.200;18:0.600;19:0.000;20:0.200;21:0.400;22:0.000;23:0.600
DCASE-valve-id,level,0.3333,0.2500,120,24,4,0:0.000;1:1.000;2:0.600;3:0.800;4:0.200;5:0.400;6:0.200;7:0.400;8:0.000;9:0.600;10:0.000;11:0.000;12:0.000;13:0.600;14:0.600;15:0.000;16:0.200;17:0.600;18:0.400;19:0.200;20:0.200;21:0.000;22:0.400;23:0.600
DCASE-valve-id,integ,0.2750,0.2500,120,24,4,0:0.000;1:1.000;2:0.600;3:0.400;4:0.400;5:0.200;6:0.400;7:0.400;8:0.000;9:0.800;10:0.000;11:0.000;12:0.000;13:0.600;14:0.200;15:0.000;16:0.200;17:0.800;18:0.000;19:0.000;20:0.200;21:0.000;22:0.200;23:0.200
DCASE-valve-anomaly,base,0.2375,0.5000,80,16,2,0:0.200;1:0.200;2:0.000;3:0.400;4:0.200;5:0.400;6:0.200;7:0.000;8:0.000;9:0.800;10:0.400;11:0.000;12:0.000;13:0.800;14:0.000;15:0.200
DCASE-valve-anomaly,pool4,0.2875,0.5000,80,16,2,0:0.200;1:0.000;2:0.400;3:0.200;4:0.400;5:0.400;6:0.000;7:0.200;8:0.200;9:0.200;10:0.800;11:0.000;12:0.600;13:0.400;14:0.200;15:0.400
DCASE-valve-anomaly,pool16,0.5625,0.5000,80,16,2,0:0.400;1:0.600;2:0.600;3:0.400;4:0.600;5:0.400;6:0.800;7:0.200;8:0.600;9:1.000;10:0.400;11:0.600;12:0.400;13:0.400;14:0.800;15:0.800
DCASE-valve-anomaly,even_sub,0.4375,0.5000,80,16,3,0:0.400;1:0.400;2:0.200;3:0.600;4:0.600;5:0.400;6:0.200;7:0.800;8:0.400;9:0.800;10:0.600;11:0.000;12:0.400;13:0.800;14:0.200;15:0.200
DCASE-valve-anomaly,peak_sub,0.3625,0.5000,80,16,3,0:0.400;1:0.200;2:0.200;3:0.400;4:0.400;5:0.400;6:0.200;7:0.600;8:0.200;9:0.800;10:0.000;11:0.200;12:0.200;13:1.000;14:0.400;15:0.200
DCASE-valve-anomaly,level,0.3750,0.5000,80,16,2,0:0.600;1:0.400;2:0.200;3:0.200;4:0.400;5:0.200;6:0.400;7:0.400;8:0.200;9:0.600;10:0.400;11:0.400;12:0.200;13:0.600;14:0.400;15:0.400
DCASE-valve-anomaly,integ,0.2750,0.5000,80,16,2,0:0.200;1:0.400;2:0.000;3:0.000;4:0.400;5:0.400;6:0.000;7:0.600;8:0.200;9:0.600;10:0.200;11:0.400;12:0.200;13:0.400;14:0.200;15:0.200
DCASE-pump-id,base,0.2917,0.2500,120,24,4,0:0.400;1:0.400;2:0.000;3:0.000;4:0.800;5:0.000;6:0.000;7:0.200;8:0.200;9:0.200;10:0.000;11:0.200;12:0.000;13:0.400;14:0.600;15:0.400;16:0.000;17:0.800;18:0.600;19:0.200;20:0.000;21:0.000;22:0.600;23:1.000
DCASE-pump-id,pool4,0.2833,0.2500,120,24,4,0:0.000;1:0.000;2:0.200;3:0.200;4:0.200;5:0.800;6:0.800;7:0.600;8:0.000;9:0.000;10:0.200;11:0.200;12:0.600;13:0.000;14:0.000;15:0.400;16:0.200;17:0.400;18:1.000;19:0.000;20:0.000;21:0.000;22:0.000;23:1.000
DCASE-pump-id,pool16,0.1500,0.2500,120,24,4,0:0.200;1:0.400;2:0.400;3:0.400;4:0.200;5:0.000;6:0.200;7:0.000;8:0.000;9:0.000;10:0.000;11:0.200;12:0.200;13:0.000;14:0.000;15:0.200;16:0.000;17:0.000;18:0.200;19:0.200;20:0.200;21:0.200;22:0.000;23:0.400
