bank,config,rec,acc,ms_per_win
hydcooler,m5t5,0,0.6000,72.41
hydcooler,m5t5,1,0.2000,72.41
hydcooler,m5t5,2,1.0000,72.41
hydcooler,m5t5,3,1.0000,72.41
hydcooler,m5t5,4,0.8000,72.41
hydcooler,m5t5,5,0.2000,72.41
hydcooler,m5t5,6,0.4000,72.41
hydcooler,m5t5,7,0.4000,72.41
hydcooler,m5t5,8,0.8000,72.41
hydcooler,m5t5,9,0.6000,72.41
hydcooler,m5t5,10,0.6000,72.41
hydcooler,m5t5,11,1.0000,72.41
hydcooler,m5t5,12,0.6000,72.41
hydcooler,m5t5,13,0.8000,72.41
hydcooler,m5t5,14,0.8000,72.41
hydcooler,m5t5,15,0.6000,72.41
hydcooler,m5t5,16,0.8000,72.41
hydcooler,m5t5,17,1.0000,72.41
hydcooler,m5t10,0,1.0000,78.94
hydcooler,m5t10,1,0.0000,78.94
hydcooler,m5t10,2,0.8000,78.94
hydcooler,m5t10,3,1.0000,78.94
hydcooler,m5t10,4,1.0000,78.94
hydcooler,m5t10,5,0.0000,78.94
hydcooler,m5t10,6,0.2000,78.94
hydcooler,m5t10,7,0.6000,78.94
hydcooler,m5t10,8,0.4000,78.94
hydcooler,m5t10,9,0.8000,78.94
hydcooler,m5t10,10,0.8000,78.94
hydcooler,m5t10,11,1.0000,78.94
hydcooler,m5t10,12,0.8000,78.94
hydcooler,m5t10,13,0.8000,78.94
hydcooler,m5t10,14,0.8000,78.94
hydcooler,m5t10,15,0.4000,78.94
hydcooler,m5t10,16,0.8000,78.94
hydcooler,m5t10,17,0.6000,78.94
