bank,config,rec,acc,ms_per_win,chance
gasid,c64b1_aug,1,0.3750,70.89,0.2500
gasid,c64b1_aug,2,0.1250,70.89,0.2500
gasid,c64b1_aug,3,0.5000,70.89,0.2500
gasid,c64b1_aug,4,0.5000,70.89,0.2500
gasid,c64b1_aug,5,0.7500,70.89,0.2500
gasid,c64b1_aug,6,0.5000,70.89,0.2500
gasid,c64b1_aug,7,0.5000,70.89,0.2500
gasid,c64b1_aug,8,0.0000,70.89,0.2500
gasid,c64b1_aug,9,0.8750,70.89,0.2500
gasid,c64b1_aug,10,0.5000,70.89,0.2500
gasid,c64b1_aug,11,0.5000,70.89,0.2500
gasid,c64b1_aug,12,0.5000,70.89,0.2500
gasid,c64b1_aug,13,0.7500,70.89,0.2500
gasid,c64b1_aug,14,0.3750,70.89,0.2500
gasid,c64b1_aug,15,0.5000,70.89,0.2500
gasid,c64b1_aug,16,0.2500,70.89,0.2500
gasid,c64b1_aug,17,0.5714,70.89,0.2500
gasid,c64b1_aug,18,0.3750,70.89,0.2500
gasid,c64b1_aug,19,0.5000,70.89,0.2500
gasid,c128b2_alone,0,0.1250,41.36,0.2500
gasid,c128b2_alone,1,0.5000,41.36,0.2500
gasid,c128b2_alone,2,0.1250,41.36,0.2500
gasid,c128b2_alone,3,0.3750,41.36,0.2500
gasid,c128b2_alone,4,0.3750,41.36,0.2500
gasid,c128b2_alone,5,0.7500,41.36,0.2500
gasid,c128b2_alone,6,0.5000,41.36,0.2500
gasid,c128b2_alone,7,0.5000,41.36,0.2500
gasid,c128b2_alone,8,0.1250,41.36,0.2500
gasid,c128b2_alone,9,0.5000,41.36,0.2500
gasid,c128b2_alone,10,0.5000,41.36,0.2500
gasid,c128b2_alone,11,0.5000,41.36,0.2500
gasid,c128b2_alone,12,1.0000,41.36,0.2500
gasid,c128b2_alone,13,0.3750,41.36,0.2500
gasid,c128b2_alone,14,0.5000,41.36,0.2500
gasid,c128b2_alone,15,0.5000,41.36,0.2500
gasid,c128b2_alone,16,0.0000,41.36,0.2500
gasid,c128b2_alone,17,0.8571,41.36,0.2500
gasid,c128b2_alone,18,0.3750,41.36,0.2500
gasid,c128b2_alone,19,0.5000,41.36,0.2500
gasid,c128b2_aug,0,0.1250,41.36,0.2500
gasid,c128b2_aug,1,0.2500,41.36,0.2500
gasid,c128b2_aug,2,0.1250,41.36,0.2500
gasid,c128b2_aug,3,0.5000,41.36,0.2500
gasid,c128b2_aug,4,0.5000,41.36,0.2500
gasid,c128b2_aug,5,0.8750,41.36,0.2500
gasid,c128b2_aug,6,0.5000,41.36,0.2500
gasid,c128b2_aug,7,0.5000,41.36,0.2500
gasid,c128b2_aug,8,0.1250,41.36,0.2500
gasid,c128b2_aug,9,0.5000,41.36,0.2500
gasid,c128b2_aug,10,0.5000,41.36,0.2500
gasid,c128b2_aug,11,0.5000,41.36,0.2500
gasid,c128b2_aug,12,0.8750,41.36,0.2500
gasid,c128b2_aug,13,0.3750,41.36,0.2500
gasid,c128b2_aug,14,0.3750,41.36,0.2500
gasid,c128b2_aug,15,0.5000,41.36,0.2500
gasid,c128b2_aug,16,0.0000,41.36,0.2500
gasid,c128b2_aug,17,0.5714,41.36,0.2500
gasid,c128b2_aug,18,0.3750,41.36,0.2500
gasid,c128b2_aug,19,0.5000,41.36,0.2500
gasid,c256b4_alone,0,0.3750,29.37,0.2500
gasid,c256b4_alone,1,0.5000,29.37,0.2500
gasid,c256b4_alone,2,0.0000,29.37,0.2500
gasid,c256b4_alone,3,0.3750,29.37,0.2500
gasid,c256b4_alone,4,0.6250,29.37,0.2500
gasid,c256b4_alone,5,0.7500,29.37,0.2500
gasid,c256b4_alone,6,0.5000,29.37,0.2500
gasid,c256b4_alone,7,0.5000,29.37,0.2500
gasid,c256b4_alone,8,0.3750,29.37,0.2500
gasid,c256b4_alone,9,0.6250,29.37,0.2500
gasid,c256b4_alone,10,0.5000,29.37,0.2500
gasid,c256b4_alone,11,0.5000,29.37,0.2500
gasid,c256b4_alone,12,0.8750,29.37,0.2500
gasid,c256b4_alone,13,0.5000,29.37,0.2500
gasid,c256b4_alone,14,0.3750,29.37,0.2500
gasid,c256b4_alone,15,0.5000,29.37,0.2500
gasid,c256b4_alone,16,0.0000,29.37,0.2500
gasid,c256b4_alone,17,0.7143,29.37,0.2500
gasid,c256b4_alone,18,0.2500,29.37,0.2500
gasid,c256b4_alone,19,0.5000,29.37,0.2500
gasid,c256b4_aug,0,0.2500,29.37,0.2500
gasid,c256b4_aug,1,0.5000,29.37,0.2500
gasid,c256b4_aug,2,0.0000,29.37,0.2500
gasid,c256b4_aug,3,0.3750,29.37,0.2500
gasid,c256b4_aug,4,0.7500,29.37,0.2500
gasid,c256b4_aug,5,0.6250,29.37,0.2500
gasid,c256b4_aug,6,0.5000,29.37,0.2500
gasid,c256b4_aug,7,0.5000,29.37,0.2500
gasid,c256b4_aug,8,0.2500,29.37,0.2500
gasid,c256b4_aug,9,0.7500,29.37,0.2500
gasid,c256b4_aug,10,0.5000,29.37,0.2500
gasid,c256b4_aug,11,0.5000,29.37,0.2500
gasid,c256b4_aug,12,0.7500,29.37,0.2500
gasid,c256b4_aug,13,0.3750,29.37,0.2500
gasid,c256b4_aug,14,0.3750,29.37,0.2500
gasid,c256b4_aug,15,0.5000,29.37,0.2500
gasid,c256b4_aug,16,0.1250,29.37,0.2500
gasid,c256b4_aug,17,0.7143,29.37,0.2500
gasid,c256b4_aug,18,0.2500,29.37,0.2500
gasid,c256b4_aug,19,0.5000,29.37,0.2500
gasid,c256b8_alone,0,0.1250,28.38,0.2500
gasid,c256b8_alone,1,0.5000,28.38,0.2500
gasid,c256b8_alone,2,0.1250,28.38,0.2500
gasid,c256b8_alone,3,0.5000,28.38,0.2500
gasid,c256b8_alone,4,0.6250,28.38,0.2500
gasid,c256b8_alone,5,0.6250,28.38,0.2500
gasid,c256b8_alone,6,0.5000,28.38,0.2500
gasid,c256b8_alone,7,0.5000,28.38,0.2500
gasid,c256b8_alone,8,0.3750,28.38,0.2500
gasid,c256b8_alone,9,0.6250,28.38,0.2500
gasid,c256b8_alone,10,0.5000,28.38,0.2500
gasid,c256b8_alone,11,0.5000,28.38,0.2500
gasid,c256b8_alone,12,0.8750,28.38,0.2500
gasid,c256b8_alone,13,0.5000,28.38,0.2500
gasid,c256b8_alone,14,0.5000,28.38,0.2500
gasid,c256b8_alone,15,0.5000,28.38,0.2500
gasid,c256b8_alone,16,0.3750,28.38,0.2500
gasid,c256b8_alone,17,0.5714,28.38,0.2500
gasid,c256b8_alone,18,0.3750,28.38,0.2500
gasid,c256b8_alone,19,0.5000,28.38,0.2500
gasid,c256b8_aug,0,0.2500,28.38,0.2500
gasid,c256b8_aug,1,0.5000,28.38,0.2500
gasid,c256b8_aug,2,0.3750,28.38,0.2500
gasid,c256b8_aug,3,0.5000,28.38,0.2500
gasid,c256b8_aug,4,0.6250,28.38,0.2500
gasid,c256b8_aug,5,0.7500,28.38,0.2500
gasid,c256b8_aug,6,0.5000,28.38,0.2500
gasid,c256b8_aug,7,0.5000,28.38,0.2500
gasid,c256b8_aug,8,0.3750,28.38,0.2500
gasid,c256b8_aug,9,0.7500,28.38,0.2500
gasid,c256b8_aug,10,0.5000,28.38,0.2500
gasid,c256b8_aug,11,0.5000,28.38,0.2500
gasid,c256b8_aug,12,0.7500,28.38,0.2500
gasid,c256b8_aug,13,0.6250,28.38,0.2500
gasid,c256b8_aug,14,0.5000,28.38,0.2500
gasid,c256b8_aug,15,0.5000,28.38,0.2500
gasid,c256b8_aug,16,0.3750,28.38,0.2500
gasid,c256b8_aug,17,0.5714,28.38,0.2500
gasid,c256b8_aug,18,0.3750,28.38,0.2500
gasid,c256b8_aug,19,0.5000,28.38,0.2500
